sheet_id,device,operation
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Планшет iPad 32Gb-Space Grey (MP1J2RU/A),Очистка поверхности планшета от загрязнений при помощи мягкой ткани. Проверка наличия обновления ПО
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Ресивер SHURE ULXD4QE=-P51 (2 шт.),"Очистка поверхности ресивера от пылевых отложений при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Трансмиттер SHURE ULXD1=-P51 (8шт.),Очистка поверхности трансмиттера от загрязнений при помощи мягкой ткани.
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,ПК Apple Mac mini,"Очистка поверхности ПК от загрязнений при помощи мягкой ткани. Проверка наличия обновления ПО. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Наушники Beyerdynamic DT770 PRO 80 Ohm,"Очистка от загрязнений при помощи мягкой ткани. Проверка качества подключения кабеля, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Микшерный пульт Behringer Xenyx 502,"Очистка поверхности пульта при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,"AHD PD-A2-B2.8 v2.5.2 (2,8мм) (2 шт.)","Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,HiWatch DS-H204Q (5 шт.),"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,AOC Professional I2790VQ/BT (00/01) 27 (3 шт.),"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,"VX239H 23"" ASUS","Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,G6100 PRO (G6301PQi),"Чистка фильтрующего элемента при помощи сжатого воздуха. С внутреннего пространства ПК, БП, радиаторов, вентиляторов, системных плат удалить пылевые отложения при помощи струи сжатого воздуха и мягкой щетки. Выполнить визуальную проверку целостности изоляции сигнальных и силовых кабелей, выполнить проверку целостности разъемов. Проверить наличие обновлений ПО. Заменять теплопроводную пасту на ЦП только при превышении допустимых рабочих температур."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,INTEL Core i7 8700 ASUS TUF GTX 1080 Ti,"Чистка фильтрующего элемента при помощи сжатого воздуха. С внутреннего пространства ПК, БП, радиаторов, вентиляторов, системных плат удалить пылевые отложения при помощи струи сжатого воздуха и мягкой щетки. Выполнить визуальную проверку целостности изоляции сигнальных и силовых кабелей, выполнить проверку целостности разъемов. Проверить наличие обновлений ПО. Заменять теплопроводную пасту на ЦП только при превышении допустимых рабочих температур."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,"P2,5 SMD INDOOR","Проверка наличия ослабленных крепежных элементов силовой рамы светодиодного экрана, проверка наличия деформаций, следов от ударов, следов рифления, порезов, коррозии, трещин и т.д., каждое проявление ржавчины следует своевременно устранить путем зачистки и новой покраски. Выполнить визуальную проверку корпуса светодиодного модуля на предмет повреждений и произвести очистку от пылевых отложений при помощи сухой ветоши, щетки или струи сжатого воздуха. Продуть БП внутри светодиодного модуля струей сжатого воздуха, выполнить протяжку контактной группы, убедиться в работоспособности вентилятора охлаждения. Выполнить визуальную проверку целостности изоляции кабелей, проверку целостности разъемов. Осмотр экрана на наличие битых пикселей, их количество не должно превышать 0,01% от общего количества пикселей."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,VDWALL LVP605S/ NOVASTAR MCTRL 300/ NOVASTAR MCTRL 660,"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,SAMSUNG UE40MU6400U (6 шт.),"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Видео_оборудования»_павильона,Gefen GTB-UHD-HBT (6 шт.),"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,Axcor Spot 300 (8 шт.),"Очистка передней линзы и корпуса прибора мягкой безворсовой тканью без применения растворителей и спиртосодержащих жидкостей. Проверка состояния воздушных фильтров, при наличии пыли фильтрующий элемент следует промыть и просушить. Произвести визуальный осмотр состояния элементов крепежа. Очистка вентилятора охлаждения и вентиляционных отверстий при помощи пылесоса, мягкой щетки или сжатого воздуха. Очистка гобо и внутренних линз мягкой безворсовой тканью без применения растворителей и спиртосодержащих жидкостей. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,BLINDER 2100S-WW (6 шт.),"Очистка передней панели и корпуса прибора от пыли. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,GlowUp Strip 100 (7 шт.),"Очистка передней панели и корпуса прибора от пыли. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,INVOLIGHT UV PRO 400 (4 шт.),"Очистка передней панели и корпуса прибора от пыли. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,K-EYE K10 HCR (12 шт.),"Очистка передних линз и корпуса прибора мягкой безворсовой тканью без применения растворителей и спиртосодержащих жидкостей. Проверка состояния воздушных фильтров, при наличии пыли, фильтрующий элемент следует промыть и просушить. Произвести визуальный осмотр состояния элементов крепежа. Очистка вентилятора охлаждения и вентиляционных отверстий при помощи пылесоса, мягкой щетки или воздушной струи. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,LED FOLLOW SPOT LIGHT (1 шт.),"Очистка передней линзы и корпуса прибора мягкой безворсовой тканью без применения растворителей и спиртосодержащих жидкостей. Проверка качества подключения питающего кабеля, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,ROBE ROBIN DL4S Profile (6 шт.),"Очистка передней линзы и корпуса прибора мягкой безворсовой тканью без применения растворителей и спиртосодержащих жидкостей. Проверка состояния воздушных фильтров, при наличии пыли, фильтрующий элемент следует промыть и просушить. Произвести визуальный осмотр состояния элементов крепежа. Очистка вентилятора охлаждения и вентиляционных отверстий при помощи пылесоса, мягкой щетки или сжатого воздуха. Очистка гобо и внутренних линз мягкой безворсовой тканью без применения растворителей и спиртосодержащих жидкостей. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,Source Four LED Series 2 Lustr (16 шт.),"Очистка панели корпуса прибора от пыли. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,JEM AF-2 (2 шт.),"Очистка внешней поверхности вентилятора влажной материей без использования растворителей. Проверка затяжки 1/4 оборотных креплений, проверка затяжки болтов и гаек элементов крепления, проверка состояния страховочного троса и затяжки механизма его соединения. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,Jem Compact Hazer Pro,"Удаление пыли из вентиляционных отверстий мягкой щеткой, ватным тампоном, пылесосом или сжатым воздухом. Удаление конденсата из места выхода дымки генератора с помощью влажной ткани. Очистка корпуса дым-машины производиться только с помощью влажной ткани. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,GrandMA2 ultra-light,"Очистка поверхности пульта от пылевых отложений. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции. Проверка функционирования всех фейдеров и клавиш светового пульта. Проверка наличие обновления программного обеспечения."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,MA 8Port Node,"Очистка поверхности преобразователя от пылевых отложений. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции. Проверка наличие обновления программного обеспечения."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,MA Network Switch,"Очистка поверхности коммутатора от пылевых отложений. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции. Проверка наличие обновления программного обеспечения."
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,Aspire VN7-572G-55J8,Очистка корпуса и клавиатуры от пылевых отложений.
КЛ_ежемесячного_обслуживания_ТО_1_«Светотехнического_оборудования»,APC SMT750RMI2U,"Очистка поверхности ИБП от пылевых отложений. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
